"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-quantity&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Jan 29 2018 14:52:16 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","WDS (short tons)","BLQ (short tons)","DFO (barrels)","BIT (short tons)","KER (barrels)","SLW (short tons)","WO (barrels)","RFO (barrels)","TDF (short tons)","SUN","SUB (short tons)","PC (short tons)","PG (Mcf)","OBL (barrels)","OBS (short tons)","WDL (barrels)","LIG (short tons)","WND","WAT","MSB (short tons)","MSN (short tons)","OTH","JF (barrels)","LFG (Mcf)","OG (Mcf)"
"Enderlin","--",0,56833,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enterprise Sugar Factory","--",12269,543998,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Escanaba Mill","--",5743771,"--",312396,655023,"--",14230,"--",11051,"--",9342,17229,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Evergreen BioPower LLC","--","--","--",72972,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Evergreen Community Power","--",43354,"--",247088,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--"
"Expera Specialty Solutions - Mosinee Mill","--",104086,"--",43578,237410,0,69675,"--",11357,"--",2501,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--"
"FCPC Renewable Generation",131990,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fairhaven Power","--",81441,"--",142264,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fernandina Beach Mill","--",1510135,"--",182504,914427,20244,169697,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fernandina Plant","--","--","--",185433,"--",1423,"--","--","--","--",31880,2418,"--","--","--","--","--",226279,"--","--","--","--","--","--","--","--","--","--"
"Finch Paper","--",1912281,"--",163319,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--",1526212,"--","--","--","--","--","--","--","--","--"
"Flambeau River Papers","--","--","--",138815,"--",0,10200,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--"
"Flint River Operations","--",399235,"--",391697,869381,9723,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florence Mill","--",1095526,"--",752080,584430,"--",47554,"--","--","--",4610,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida Power Development","--","--","--","--","--",5231,0,"--","--","--","--","--","--","--","--","--","--",335793,"--","--","--","--","--","--","--","--","--","--"
"Fourche Creek Wastewater",83917,11075,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fremont Community Digester, LLC",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"French Island","--",4632,"--",64313,"--",7938,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",38435,21621,"--","--","--","--"
"GL Dairy Biogas",231489,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gainesville Renewable Energy Center","--",9426,"--",49419,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gas Utilization Facility",795671,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--"
"Gaylord Container Bogalusa","--",687579,"--",931303,941044,0,0,"--","--","--",0,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Genesee Power Station LP","--",1880,"--",142803,"--","--","--","--","--","--","--",3186,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Big Island","--",164474,"--",180701,"--",0,0,"--","--","--","--","--","--","--","--","--","--",17620,"--","--","--",0,"--","--","--","--","--","--"
"Georgia-Pacific Brewton Mill","--",5289386,"--",68260,519556,0,"--","--",0,"--",67893,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--"
"Georgia-Pacific Cedar Springs","--",1511389,"--",574457,1052939,11225,133968,"--","--","--",48269,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Consr Prods LP-Naheola","--",4452195,"--",83590,774917,12264,76495,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Corp - Nekoosa Mill","--",1244898,"--","--",125637,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--"
"Georgia-Pacific Crossett LLC","--",5730212,"--",418296,787570,0,"--","--","--",23036,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Monticello Paper","--",1679928,"--",57512,257383,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Palatka Operations","--",4132312,"--",165094,617378,"--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Port Hudson","--",1553285,"--",231333,836002,"--",0,"--","--","--","--","--","--","--",217911,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Toledo Mill","--",1990248,"--","--",437731,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Wauna Mill","--",1287808,"--","--",428854,"--","--","--",0,"--",0,"--","--","--","--","--","--",74156,"--","--","--","--","--","--","--","--","--","--"
"Gettysburg Energy & Nutrient Rec Facility","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1297,"--","--","--","--","--","--","--","--","--","--"
"Grayling Generating Station","--",2708,"--",235437,"--","--","--","--","--","--","--",3200,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Green Cow Power",424381,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"GreenWhey Energy Inc",296,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"HL Power","--",47599,"--",118188,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Halifax County Biomass","--","--","--",282389,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Harvest Power Orlando",253783,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hidden View Dairy, LLC",102931,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hillman Power LLC","--",25387,"--",194655,"--","--","--","--","--","--","--",9143,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hoge Lumber","--","--","--",2200,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Holsum Elm Dairy",85406,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hometown Bio Energy LLC",284092,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Mill","--",1586732,"--",262830,402424,0,21247,"--","--","--",1234,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Power Station","--",1299,"--",501084,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Howard F Curren Advncd Wastewater Plant",44214,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IP Springfield Oregon","--",1285733,"--","--",561238,0,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Energy-Alexandria","--","--","--",198883,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Jonesboro Energy Center","--","--","--",59628,"--","--","--","--","--","--","--","--","--","--","--",999,"--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck West Enfield Energy Center","--","--","--",80564,"--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"Ingredion Winston Salem","--",288100,"--",192022,"--","--",7240,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Inland Paperboard Packaging Rome","--",549202,"--",612871,825184,272,94267,"--","--","--",43838,"--","--","--","--","--","--","--","--","--","--","--","--","--",6875,"--","--","--"
"International Paper - Orange","--",2491608,"--",183979,613951,"--","--","--","--","--","--",3252,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Augusta Mill","--",2481489,"--",240943,923598,7249,7768,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Co. - New Bern Mill",0,918658,"--","--",718224,149,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Eastover Facility","--",185047,"--",0,1275616,2895,57157,"--","--",59642,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Franklin Mill","--",568754,"--","--",493176,"--",0,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Georgetown Mill","--",756476,"--",584421,1170002,"--",6893,"--","--","--",28442,54904,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Pensacola","--",3207909,"--",409077,968637,0,30,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Prattville Mill",0,2665350,"--",449318,910297,0,34523,"--","--",15875,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Red River Mill","--",2357906,"--",380026,558690,"--","--","--",30386,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Riegelwood Mill","--",2225413,"--",10233,1080487,"--",0,"--",9720,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Riverdale Mill","--",5422727,"--",232404,668871,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Savanna Mill","--",3953587,"--",220742,1091074,0,28394,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Texarkana Mill","--",2144969,"--",0,1039894,"--","--","--","--","--",0,"--","--","--","--","--","--",528380,"--","--","--","--","--","--","--","--","--","--"
"International Paper Valliant OK","--",5432271,"--",0,994474,0,"--","--","--","--",0,"--","--","--",0,"--","--",259253,"--","--","--","--","--","--","--","--","--","--"
"International Paper Vicksburg Mill","--",1587176,5183,287392,523553,"--","--","--","--","--",0,6576,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Interstate Paper LLC Riceboro","--",239870,"--",233527,275382,0,"--","--","--","--",1760,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"J C McNeil","--",14252,"--",457037,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"JC-Biomethane, LLC",127413,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"John H Warden","--",2008,"--",137118,"--",0,"--","--","--","--","--",7389,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Johnsonburg Mill","--",738955,"--","--",402932,17295,88762,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kaiser Ontario",22623,7541,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"KapStone Kraft Paper Corp","--",816670,0,62232,568962,935,80069,"--","--","--",2596,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
