"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2014&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Feb 05 2018 22:59:08 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","NG","AB","BLQ","DFO","WDS","SLW","TDF","BIT","SUB","PG","RFO","OBL","WDL","OBS","MSN","MSB","WO","PC","OTH","JF","LFG"
"Metro Wastewater Reclamation District",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Middlebury College","--","--","--","--","--",9,"--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"MillerCoors Irwindale Brewery",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Shenandoah Brewery",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri River Wastewater Treatment",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mobile Energy Services LLC","--",1,"--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Monterey Regional Water Cogen Facility",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mt Poso Cogeneration","--",1,"--","--","--",15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade Rabun Gap, LLC","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade of Pittsylvania LP","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"NPI USA Cogeneration Plant","--","--","--","--",6,17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nacogdoches Power","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Napoleon Biogas",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nippon Dynawave Packaging Longview WA","--",1,"--",11,"--",17,14,"--","--",19,"--",7,"--","--","--","--","--","--","--","--","--","--"
"Novo BioPower Plant","--",1,"--","--","--",15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Okeelanta Cogeneration","--",1,7,"--",6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oshkosh Foundation Rosedale Biodigester LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oxnard Wastewater Treatment Plant",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter","--","--","--",13,6,9,5,"--",26,"--","--",6,"--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter Co -Chillicothe Facility","--",1,"--",12,6,10,"--",31,22,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"PInova Inc","--",1,"--","--","--",8,"--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"POTB Digester",2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"PWD Northeast WPCP Biogas Cogen Plant",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific-Ultrapower Chinese Station","--","--","--","--","--",10,"--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--","--"
"Packaging Corp of America","--",1,"--",12,6,8,"--",31,26,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Papillion Creek Wastewater",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Piedmont Green Power","--","--","--","--","--",9,"--","--","--","--","--","--",5,"--","--","--","--","--","--","--","--","--"
"Pine Bluff Mill","--",1,"--",12,"--",8,"--",30,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Fitchburg","--",1,"--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Tamworth","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plainfield Renewable Energy LLC","--","--","--","--","--",11,"--","--","--","--","--","--",5,"--","--","--","--","--","--","--","--","--"
"Plant No 1 Orange County",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plant No 2 Orange County",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plummer Cogen","--","--","--","--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Port Townsend Paper","--","--","--",12,"--",17,3,"--","--","--","--","--","--","--","--","--","--",6,"--","--","--","--"
"Port Wentworth Mill",1,1,"--",12,6,9,13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Power Generation Station (PGS) 2",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Prairies Edge Generating Facility",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"RPI Fuel Cell LLC",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rapids Energy Center","--",1,"--","--","--",9,"--","--","--",18,"--","--","--","--","--","--","--","--","--","--","--","--"
"Rayonier Advanced Materials - Jesup Plant","--",1,"--",11,"--",9,"--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"ReEnergy Ashland","--","--","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Black River","--","--","--","--",6,10,"--",27,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Fort Fairfield","--","--","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Livermore Falls","--","--","--","--","--",8,"--","--","--","--","--","--","--","--",8,"--","--","--","--","--","--","--"
