"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2015&tab=consumption-mmbtu_unit&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Feb 05 2018 22:57:45 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","NG","AB","WDS","BLQ","DFO","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","WDL","OBS","MSB","MSN","PC","OTH","JF","LFG"
"Oshkosh Foundation Rosedale Biodigester LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oxnard Wastewater Treatment Plant",1,1,"--","--","--","--","--","--","--","--","--",1,"--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter","--","--","--",9,13,6,5,"--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--"
"P H Glatfelter Co -Chillicothe Facility","--",1,"--",10,12,6,"--","--",31,23,"--","--","--","--","--","--","--","--","--","--","--","--"
"PCA-Valdosta Mill","--",1,"--",10,13,"--","--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"PInova Inc","--",1,"--",9,"--","--","--","--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--"
"POTB Digester",2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"PWD Northeast WPCP Biogas Cogen Plant",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Rim Dairy Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific-Ultrapower Chinese Station","--","--","--",9,"--","--","--","--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--"
"Packaging Corp of America","--",1,"--",8,12,6,"--","--",31,26,"--","--","--","--","--","--","--","--","--","--","--","--"
