"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2015&tab=consumption-quantity&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Feb 05 2018 22:56:37 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","DFO (barrels)","WDS (short tons)","BLQ (short tons)","BIT (short tons)","KER (barrels)","RFO (barrels)","SLW (short tons)","WO (barrels)","TDF (short tons)","SUN","PC (short tons)","SUB (short tons)","PG (Mcf)","OBL (barrels)","PUR","WDL (barrels)","OBS (short tons)","LIG (short tons)","WND","WAT","ANT (short tons)","MSB (short tons)","MSN (short tons)","OTH","JF (barrels)","WC (short tons)","LFG (Mcf)","OG (Mcf)"
"Indeck Jonesboro Energy Center","--","--","--","--",218688,"--","--","--","--","--","--","--","--","--","--",8110,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck West Enfield Energy Center","--","--","--","--",228601,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ingredion Winston Salem","--",64614,"--","--",231062,"--",6765,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Inland Paperboard Packaging Rome","--",747656,"--",127,635451,796628,106399,"--",36473,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",10676,"--","--","--","--"
"International Paper - Orange","--",2409396,"--","--",155703,608092,"--","--","--","--","--",3059,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Augusta Mill","--",2458683,"--",4119,227797,893979,10071,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Co. - New Bern Mill",0,1188171,"--",3059,"--",682746,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Eastover Facility","--","--","--",3743,106119,1211693,86257,"--",0,"--",63599,7567,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Franklin Mill","--",506477,"--","--","--",511925,0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Georgetown Mill","--",526849,"--",0,581201,1114168,24150,"--",15082,"--","--",51878,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Pensacola","--",3406953,"--",0,389864,927780,18871,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
