"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:53:00 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","AB","NG","BLQ","DFO","WDS","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","OBS","WDL","MSB","MSN","PC","OTH","JF","LFG"
"Indeck West Enfield Energy Center","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ingredion Winston Salem","--","--",1,"--","--",10,"--","--","--",28,"--","--","--","--","--","--","--","--","--","--","--","--"
"Inland Paperboard Packaging Rome","--","--",1,12,6,9,"--","--","--",26,"--","--",6,"--","--","--","--","--","--",23,"--","--"
"International Paper - Orange","--","--",1,11,"--",9,"--","--",32,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Augusta Mill","--","--",1,11,6,8,"--","--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Co. - New Bern Mill","--","--",1,11,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Eastover Facility","--","--",1,12,6,"--","--",6,"--",26,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Franklin Mill","--","--",1,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Georgetown Mill","--","--",1,12,"--",8,"--","--",31,25,"--","--",6,"--","--","--","--","--","--","--","--","--"
"International Paper Pensacola","--","--",1,12,"--",9,"--","--","--",25,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Prattville Mill","--","--",1,11,"--",9,"--",6,"--",26,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Red River Mill","--","--",1,11,"--",9,7,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Riegelwood Mill","--","--",1,12,"--",9,5,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Riverdale Mill","--","--",1,12,"--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Savanna Mill","--","--",1,12,"--",8,"--","--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Texarkana Mill","--","--",1,12,"--","--","--","--","--","--","--","--","--","--",11,"--","--","--","--","--","--","--"
"International Paper Valliant OK","--","--",1,12,"--","--","--","--","--","--","--","--","--","--",18,"--","--","--","--","--","--","--"
"International Paper Vicksburg Mill","--",9,1,11,"--",9,"--","--",30,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Interstate Paper LLC Riceboro","--","--",1,12,"--",10,"--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"J C McNeil","--","--",1,"--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"JC-Biomethane, LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"John H Warden","--","--",1,"--","--",11,"--","--",29,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Johnsonburg Mill","--","--",1,11,6,"--","--","--","--",25,"--","--","--","--","--","--","--","--","--","--","--","--"
"Kaiser Ontario",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"KapStone Kraft Paper Corp","--","--",1,12,6,9,"--","--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Kapstone","--","--","--","--","--",14,"--","--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--"
"Kaukauna Paper Mill","--","--",1,12,"--",9,"--","--",32,23,"--","--",7,"--","--","--","--","--",23,"--","--","--"
"Kentucky Mills","--","--",1,12,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kettle Falls Generating Station","--","--",1,"--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kishwaukee CHP Plant",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Koda Biomass Plant","--",14,1,"--","--",14,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Leaf River Cellulose LLC","--","--",1,13,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
