Plant.Name.x,Plant.Code,State.x,Sector.Name,Prime.Movers,Fuel.Types,Primary.Technology,Utility.ID,Utility.Name,Plant.Name.y,Street.Address,City,State.y,Zip,County,Latitude,Longitude
Shasta Renewable Resources Plant,57857,CA,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,57183,Shasta Renewable Resources LLC,Shasta Renewable Resources Plant,6309 Highway 273,Anderson,CA,96007,Shasta,40.470833,-122.331111
Sierra Pacific Aberdeen,55882,WA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,17164,Sierra Pacific Industries Inc,Sierra Pacific Aberdeen,301 Hagara Street,Aberdeen,WA,98520,Grays Harbor,46.9728,-123.7739
Sierra Pacific Burlington Facility,56406,WA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,17164,Sierra Pacific Industries Inc,Sierra Pacific Burlington Facility,14654 Ovenell Rd,Mt Vernon,WA,98273,Skagit,48.4481,-122.4331
Sierra Pacific Burney Facility,50110,CA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,17164,Sierra Pacific Industries Inc,Sierra Pacific Burney Facility,36336 Highway 299 East,Burney,CA,96013,Shasta,40.8767,-121.7016
Sierra Pacific Lincoln Facility,10144,CA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,17164,Sierra Pacific Industries Inc,Sierra Pacific Lincoln Facility,1445 Highway 65,Lincoln,CA,95648,Placer,38.9032,-121.3097
Sierra Pacific Loyalton Facility,50111,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,17164,Sierra Pacific Industries Inc,Sierra Pacific Loyalton Facility,100 Railroad Ave,Loyalton,CA,96118,Sierra,39.6699,-120.2394
Sierra Pacific Quincy Facility,50112,CA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,17164,Sierra Pacific Industries Inc,Sierra Pacific Quincy Facility,1538 Lee Road,Quincy,CA,95971,Plumas,39.941165,-120.909211
Sierra Pacific Sonora,54517,CA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,17164,Sierra Pacific Industries Inc,Sierra Pacific Sonora,14980 Camage Road,Standard,CA,95370,Tuolumne,37.966389,-120.317777
Silicon Valley Clean Water,60249,CA,IPP CHP,IC,OBG,Other Waste Biomass,60038,Silicon Valley Clean Water,Silicon Valley Clean Water,1400 Radio Road,Redwood City,CA,94065,San Mateo,37.542619,-122.231119
Snider Industries,50141,TX,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,27211,Snider Industries Inc,Snider Industries,3311 Sue Belle Lake Road,Marshall,TX,75671,Harrison,32.574722,-94.373889
Somerset Plant,50406,ME,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,16190,Sappi Fine Paper North America-Somerset,Somerset Plant,1329 Waterville Rd,Skowhegan,ME,04976,Somerset,44.703467,-69.647441
Sonoco Products Co,57919,SC,Industrial CHP,ST,"BIT, NG, WDS",Multiple,57302,Sonoco Products Co,Sonoco Products Co,1 North 2nd Street,Hartsville,SC,29550,Darlington,34.385278,-80.067778
South Bay Fuel Cell Plant,57770,CA,IPP Non-CHP,FC,OBG,Other Waste Biomass,57047,BioFuels Point Loma LLC,South Bay Fuel Cell Plant,2411 Dairy Mart Road,San Diego,CA,92154,San Diego,32.543333,-117.067778
South Columbus Water Resource Facility,57076,GA,Commercial CHP,IC,OBG,Other Waste Biomass,56367,Columbus Water Works,South Columbus Water Resource Facility,3001 South Lumpkin Road,Columbus,GA,31904,Muscogee,32.4119,-84.9761
South District Wastewater Treatment Plt,54624,FL,Commercial CHP,IC,OBG,Other Waste Biomass,12411,Miami Dade Water & Sewer Dept,South District Wastewater Treatment Plt,8950 SW 232 St,Miami,FL,33190,Miami Dade,25.549834,-80.336253
